n_exp,acc_raw_clean,acc_raw_att,acc_unif_att,acc_acra_att
0,0.7653631284916201,0.5865921787709497,0.5865921787709497,0.7094972067039106
1,0.6759776536312849,0.4972067039106145,0.49162011173184356,0.6424581005586593
2,0.6815642458100558,0.5251396648044693,0.5195530726256983,0.6368715083798883
3,0.7094972067039106,0.5418994413407822,0.5363128491620112,0.7206703910614525
4,0.6703910614525139,0.5083798882681564,0.4972067039106145,0.6759776536312849
5,0.6480446927374302,0.48044692737430167,0.48044692737430167,0.6480446927374302
6,0.6815642458100558,0.547486033519553,0.5418994413407822,0.664804469273743
7,0.6480446927374302,0.5307262569832403,0.5251396648044693,0.6256983240223464
8,0.6256983240223464,0.5251396648044693,0.5139664804469274,0.6312849162011173
9,0.6536312849162011,0.4972067039106145,0.5083798882681564,0.6201117318435754
